0,4448,5
1,1398,8
2,8544,5
3,5766,6
4,1087,4
5,8280,8
6,2734,7
7,1124,5
8,5531,5
9,8684,7
10,8132,10
11,4964,6
12,3205,4
13,2613,6
14,4454,5
15,3858,9
16,7265,7
17,2006,4
18,1068,4
19,9482,8
20,1476,6
21,9477,8
22,7688,8
23,6171,5
24,2958,9
25,1448,6
26,5215,6
27,7727,5
28,7727,5
29,9573,7
30,9494,6
31,9567,9
32,1523,6
33,9438,7
34,9287,9
35,5856,6
36,6134,6
37,2754,6
38,6797,6
39,8581,7
40,7106,5
41,6978,7
42,1688,6
43,2708,6
44,4431,5
45,2117,8
46,4642,5
47,7410,6
48,2611,7
49,4660,6
50,9164,8
51,6092,7
52,4242,5
53,1059,7
54,1509,5
55,5367,5
56,2114,5
57,7883,7
58,8329,8
59,4425,5
60,1653,7
61,7815,6
62,4878,7
63,1246,6
64,5438,6
65,9929,7
66,7382,8
67,7922,5
68,5412,6
69,1298,8
70,6493,7
71,5963,8
72,5385,6
73,2806,6
74,3585,5
75,5826,7
76,8374,6
77,6229,7
78,2004,4
79,1056,3
80,2364,4
81,7008,7
82,1311,4
83,3393,6
84,3078,5
85,1898,7
86,6942,7
87,7891,4
88,1451,3
89,6634,6
90,7738,7
91,7606,5
92,8586,7
93,2035,3
94,5209,7
95,2697,8
96,5102,6
97,2487,7
98,6502,6
99,3845,6
100,5961,8
101,6623,6
102,2530,5
103,8735,6
104,8046,6
105,2086,5
106,1864,6
107,3975,7
108,6005,5
109,5659,6
110,8551,7
111,6236,5
112,3100,5
113,1755,7
114,3229,8
115,5586,5
116,7150,6
117,1155,4
118,7535,7
119,4941,6
120,8910,6
121,9174,8
122,2066,5
123,1355,5
124,8626,7
125,6919,6
126,6841,5
127,5334,7
128,6886,5
129,4090,5
130,4552,5
131,8745,7
132,3273,7
133,5908,5
134,2623,6
135,8928,5
136,9810,7
137,7051,6
138,5504,5
139,2528,4
140,2641,6
141,9159,6
142,1448,6
143,6204,5
144,9896,6
145,5377,6
146,7423,8
147,3834,7
148,5259,7
149,2622,5
150,4780,6
151,8020,6
152,6289,7
153,9727,7
154,1702,6
155,5724,6
156,1182,7
157,2399,8
158,9501,5
159,8642,7
160,8265,8
161,3960,6
162,2329,8
163,2487,7
164,9214,7
165,9190,6
166,7928,4
167,4686,6
168,2635,6
169,3177,6
170,8642,7
171,5146,4
172,1433,6
173,5983,6
174,9014,5
175,7614,8
176,2099,7
177,5118,8
178,9960,6
179,8895,6
180,3880,6
181,1251,5
182,5674,4
183,7605,5
184,5572,6
185,9316,8
186,3146,6
187,6436,6
188,7575,6
189,5231,5
190,4414,5
191,1913,9
192,9711,6
193,1675,5
194,5428,6
195,8438,6
196,1199,7
197,9026,7
198,1738,6
199,5046,3
200,6175,6
201,2365,6
202,2040,5
203,7595,7
204,7094,6
205,2599,7
206,9977,7
207,5383,6
208,9340,7
209,7230,5
210,4503,6
211,5002,5
212,4469,6
213,6923,9
214,3534,5
215,6058,5
216,8508,6
217,6077,5
218,1604,5
219,3825,9
220,3912,10
221,7836,4
222,9682,8
223,2214,4
224,1834,8
225,2532,5
226,1400,5
227,3484,5
228,8608,6
229,5380,6
230,3413,4
231,9985,6
232,1486,7
233,7368,6
234,4806,7
235,2826,5
236,4894,5
237,7653,7
238,5970,6
239,3791,7
240,9804,6
241,6465,6
242,5590,5
243,5001,6
244,1006,3
245,7475,6
246,6062,6
247,7792,8
248,4447,4
249,5806,5
250,5829,8
251,1032,3
252,9181,8
253,9388,7
254,8909,5
255,4622,5
256,8769,7
257,6176,6
258,2157,5
259,1278,6
260,3471,6
261,5781,6
262,7573,6
263,1710,5
264,1973,9
265,5482,6
266,8366,6
267,6285,6
268,4887,6
269,1181,7
270,6283,8
271,3829,8
272,1745,6
273,2824,5
274,2175,7
275,8732,7
276,6791,5
277,5978,6
278,2660,5
279,2692,6
280,6406,6
281,7771,5
282,1223,3
283,3454,5
284,4625,5
285,4148,6
286,9073,6
287,6699,6
288,7828,7
289,6461,6
290,7633,6
291,2754,6
